id_товара;название;артикул;категория;ед_изм
1;Гвозди строительные 50мм;GV-001;Крепеж;кг
2;Саморезы 3.5х16мм;SR-002;Крепеж;шт
3;Дюбель 8х60мм;DB-003;Крепеж;шт
4;Уголок стальной 50х50х4;UG-004;Металлопрокат;м
5;Швеллер 10П;SH-005;Металлопрокат;м
6;Фанера ФК 1525х1525х15мм;FN-006;Пиломатериалы;лист
7;ДСП 2750х1830х16мм;DS-007;Пиломатериалы;лист
8;Краска белая 2.7л;KR-008;ЛКМ;банка
9;Грунтовка ГФ-021 2.5л;GR-009;ЛКМ;банка
10;Кисть макловица 100мм;KS-010;Инструмент;шт
11;Валик поролоновый 250мм;VL-011;Инструмент;шт
12;Лента малярная 50мм;LM-012;Расходники;рулон

